제품 이름,평점,판매 회사,날짜,제목,내용
LG전자 LG그램 15ZD95P-GX56K,1,LG전자인증점 베스트CNF,22.02.28.,2월 4일 구매 후 2월 8일 택배사 파업으로 발송이 지연된다는 판매자의 휴대전화 문자메시지를 받고이후 네이버 결제내역을 통해 '3/25까지 발송예정' 내용이 확인되어 2월 10일,"2월 4일 구매 후 2월 8일 택배사 파업으로 발송이 지연된다는 판매자의 휴대전화 문자메시지를 받고

이후 네이버 결제내역을 통해 '3/25까지 발송예정' 내용이 확인되어 2월 10일 배송과 관련한 문의를 상품 q&a란을 통해 등록한 이후, 시스템상(?) 배송일정을 넉넉하게 안내했으며 수일내로 배송이 가능하다는 답변을 받았습니다..만

10여일이 지난 2월 21일까지도 발송이 안되어 해당 업체 연락했더니 발송이 불가능하다, 취소요청을 하라고 합니다.

너무 황당했습니다만 아는 분께 부탁해서 다른 주소지로 받았습니다. (2월 23일)

택배사 파업이라는 이유야 어쩔 수가 없습니다만 기간 중에 5천원짜리 제품, 1만원대 제품을 구매한 다른 업체에선 파업지역이라 한진택배 대신 우체국택배로 보내주시는 배려를 해주셨습니다.

무조건 한진택배만 이용해야한다는 부분도 억지로 억지로 이해한다고 하더라도 대안도 제시하지 못하고 시간만 끌고 거짓말하고.. 관련한 모든 대응과정이 아주 아주 ."
LG전자 LG그램 15ZD95P-GX56K,5,위메프,22.03.02.,금요일에 주문 했는데 화요일이 공휴일이라서 수요일에 받았어요~ 그전에 쓰던 노트북은 x노트여서..ㅎㅎ 그램은 얇고 가벼워서 좋...,금요일에 주문 했는데 화요일이 공휴일이라서 수요일에 받았어요~ 그전에 쓰던 노트북은 x노트여서..ㅎㅎ 그램은 얇고 가벼워서 좋네요. 카페갈때도 들고 갈수있을거 같아서 너무 맘에 들어요. 색상도 하얀색이고 디자인도 예뻐요. 일주일정도 고민하다가 선택한건데 가격도 생각보다 저렴하게 사고 너무 만족합니다. 퇴근하고 받아서 시간이 늦어 아직 윈도우를 깔지않아서 사용은 안해봤어요. 내일 윈도우랑 오피스 설치하려구요 감사합니다. 잘쓸게욥!
LG전자 LG그램 15ZD95P-GX56K,4,LG전자인증점 베스트CNF,22.02.12.,고3 딸래미 선물로 미리 사준 엘지 그램~전부터 갖고싶다했는데 신학기 행사로할인 받아서 구매하니 좋아요.깔끔하고 화이트가 좀 부담될줄 알았는데이쁘고 괜찮은것 같아요^^대학생 되서,"고3 딸래미 선물로 미리 사준 엘지 그램~
전부터 갖고싶다했는데 신학기 행사로
할인 받아서 구매하니 좋아요.
깔끔하고 화이트가 좀 부담될줄 알았는데
이쁘고 괜찮은것 같아요^^
대학생 되서도 쭈욱~~ 쓸것 같네요.
인터넷 구매 첨이라 윈도우 까느라 좀 애먹었지만 잘 해결되서 이정도는 ㅎㅎ
^^"
LG전자 LG그램 15ZD95P-GX56K,5,롯데ON,22.01.12.,나의 두번째 gram!! '22년형이,"나의 두번째 gram!!
'22년형이라 받기까지 약간의 기다림이 있었지만... 오늘 배송완료~
포장도 이중으로 꼼꼼하게 되어있고, 외관도 예쁜게 만족~
따로 주문한 보호필름 붙여주고 사용하니 가볍고 좋습니다.
구매한 랜젠더 연결해서 인터넷 속도 확인... 속도도 빠르네여~ ^^"
LG전자 LG그램 15ZD95P-GX56K,4,위메프,22.01.26.,주말에 주문후 수요일 도착. 2일이 아닌 3일만에 도착한 것은 조금 아쉽지만. 파손되지 않게 잘 포장해서 보내주시고~ 알단 제...,주말에 주문후 수요일 도착. 2일이 아닌 3일만에 도착한 것은 조금 아쉽지만. 파손되지 않게 잘 포장해서 보내주시고~ 알단 제품이 너무 맘에 드네요. 싼 가격에 구매할수 있어 너무 좋았어요. 쿠폰 넣으면 10만원가까이 할인. 잘쓰갰습니다. 받자마자 윈도우깔아보니 빠르네요. 감사해요
LG전자 LG그램 15ZD95P-GX56K,5,G마켓,22.02.04.,아주 좋아요,"너무 마음에 드는 제품입니다. 작년에 큰딸꺼 구매하고, 이번에 고등학교 입학하는 둘째도 그램으로 선택했어요. 가볍고 예쁘고 빠르다고 두 딸들 모두 너무 만족해하네요. 명절연휴가 끼는 바람에 급하게 방문수령으로 변경해서 제품 받아왔는데, 판매자분들도 너무 친절하시고 좋아요~"
LG전자 LG그램 15ZD95P-GX56K,4,11번가,22.02.12.,좋아요,"가볍고 반응속도 빠르고 좋네요. 기존 11년된 노트북쓰다 이거사용하니 엄청 좋네요^^;; 안전하게 포장해서 보내주셨고요. 함께 받은 마우스와 패드, 파우치 만족합니다~윈도우 설치하고 정품인증받아야 소프트웨어 설치가되어서 정품인증하는것때문에 살짝 당황했지만 검색하니 쉽게해결할수있었습니다."
LG전자 LG그램 15ZD95P-GX56K,5,LG전자인증점 베스트CNF,22.02.13.,결제한 다음날 바로 보내주셔서 빠르게 사용해볼 수 있었습니다 :)엘지 그램은 말해 뭐해 너무 이쁘고 가볍고 좋아요~새 노트북이라 그런지 엄청 빠르고 좋습니다!! 업무용 서핑용으로는,"결제한 다음날 바로 보내주셔서 빠르게 사용해볼 수 있었습니다 :)
엘지 그램은 말해 뭐해 너무 이쁘고 가볍고 좋아요~
새 노트북이라 그런지 엄청 빠르고 좋습니다!!
업무용 서핑용으로는 고스펙인거 같긴하지만 사는 김에 좀 보태서 좋은 사양으로 구매하니 만족도가 더 높은거같아요 !!"
LG전자 LG그램 15ZD95P-GX56K,5,LG한국총판매점,22.02.12.,포장도 굉장히 잘 되어서 안전하게 왔고 사은품도 잘 챙겨주셨어요! 프리도스라 OS랑 드라이버는 본인이 깔아야 되고 확인해보니 램 16 SSD 256 모두 맞습니다. 전에 쓰던 노트,포장도 굉장히 잘 되어서 안전하게 왔고 사은품도 잘 챙겨주셨어요! 프리도스라 OS랑 드라이버는 본인이 깔아야 되고 확인해보니 램 16 SSD 256 모두 맞습니다. 전에 쓰던 노트북보다 가볍고 좋아요. 하판에 구멍도 뚫려있어서 발열도 그나마 좋은 것 같아요.
LG전자 LG그램 15ZD95P-GX56K,4,LG전자인증점 베스트CNF,22.02.25.,우선 깔끔한 디자인이 넘 맘에 들었고 가벼워서 좋아요. 배송도 엄청 빨랐고 포장도 꼼꼼하게 잘왔어요다만 같이 온 마우스가.. 휠이 너무 뻑뻑해서 잘안돌아 가고 자꾸 눌려서 문의글을,"우선 깔끔한 디자인이 넘 맘에 들었고 가벼워서 좋아요. 배송도 엄청 빨랐고 포장도 꼼꼼하게 잘왔어요
다만 같이 온 마우스가.. 휠이 너무 뻑뻑해서 잘안돌아 가고 자꾸 눌려서 문의글을 남겼는데 고장이 아니면 교환은 안된다고 하더라구요.. 아예 사용할수가 없을 장돈대.. 너무 아쉬웠어요 다른 사람들고 그런지는 모르겠네요 ㅠㅠ"
LG전자 LG그램 15ZD95P-GX56K,5,LG전자인증점 베스트CNF,22.02.10.,"큰아들 대학 입학선물로 사준 노트북입니다. ASUS와 삼성 그리고 LG사이에서 많은 고민을 했는데 역시 노트북은 LG네요. 군더더기 없는 디자인과 백라이트 키보드, 잘 되도 너무","큰아들 대학 입학선물로 사준 노트북입니다. ASUS와 삼성 그리고 LG사이에서 많은 고민을 했는데 역시 노트북은 LG네요. 군더더기 없는 디자인과 백라이트 키보드, 잘 되도 너무 잘 되는 지문인식, 뛰어난 성능까지.. 아들도 데스크탑과 깔맞춤이라고 좋아합니다. 대학생 첫 노트북이나 사무용으로 손색이 없네요. 강추합니다~"
LG전자 LG그램 15ZD95P-GX56K,5,LG전자인증점 베스트CNF,22.01.08.,노트북은 참 좋네요 속도도 빠르고 심플합니다.박스받아보면 이렇게 심플하게 줘도 되나 할걸요 ㅎ다만 아쉬운점은 빨리 받아서 좋긴한데 윈도우 설치된거보고 살짝 놀람~사운드드라이버가 안,"노트북은 참 좋네요 속도도 빠르고 심플합니다.
박스받아보면 이렇게 심플하게 줘도 되나 할걸요 ㅎ
다만 아쉬운점은 빨리 받아서 좋긴한데 윈도우 설치된거보고 살짝 놀람~
사운드드라이버가 안잡혀있어서
한참 헤맸네요 ㅎ 암튼 잘 해결했습니다.
윈도우 설치는 할줄 아신다면 ~~"
LG전자 LG그램 15ZD95P-GX56K,5,LG전자인증점 베스트CNF,22.03.08.,여기저기 비교해보고 라방때 주저없이 구매했어요. 수령시까지 좀 우여곡절이 있었는데 판매자분께서 잘 처리해주셔서 무사히 잘 수령하고 윈도우 설치까지 했네요. 역시나 그램이라 가볍고,여기저기 비교해보고 라방때 주저없이 구매했어요. 수령시까지 좀 우여곡절이 있었는데 판매자분께서 잘 처리해주셔서 무사히 잘 수령하고 윈도우 설치까지 했네요. 역시나 그램이라 가볍고 성능도 만족할만큼 나옵니다. 잘 사용할게요!!
LG전자 LG그램 15ZD95P-GX56K,5,LG전자인증점 베스트CNF,22.02.17.,15.6인치라서 어느정도인지 잘몰라서 걱정했는데 딱좋네요! 정말 마음에 들어요~~ 윈도우는 유튜브보고 직접 설치했답니다! 행사할때 저렴하게 구입할 수 있어서 좋았고 엄마가 정말 좋,15.6인치라서 어느정도인지 잘몰라서 걱정했는데 딱좋네요! 정말 마음에 들어요~~ 윈도우는 유튜브보고 직접 설치했답니다! 행사할때 저렴하게 구입할 수 있어서 좋았고 엄마가 정말 좋아하세요 주식한다고 한건데 대만족입니다 가볍고 얇고 화질도 좋습니다
LG전자 LG그램 15ZD95P-GX56K,5,위메프,22.02.12.,컴퓨터를 전혀 몰라서 친구들의 추천을 들어서 샀어요.,"컴퓨터를 전혀 몰라서 친구들의 추천을 들어서 샀어요.
11일 오후에 주문했는데 다음날 오후에 도착했어요. 너무 빠르게 도착해서 호감이 업~업~
15인치 컴퓨터가 원래 이렇게 큰 거야?처음 알았어요 하하하, 화면이 커서 너무 좋아요^^
이렇게 큰 컴퓨터도 가볍다니, 역시 LG 그램이네요!
그리고 하얀색 컴퓨터 넘 예뻐요~
암튼 이것저것 다 .^^?"
LG전자 LG그램 15ZD95P-GX56K,5,위메프,22.03.06.,이번에 동생이 대학가는데 매장은 너무 비싸서 인터넷으로 서칭하던 도중 저렴하게 판매하고 있어서 냉큼 구입했어요.,"이번에 동생이 대학가는데 매장은 너무 비싸서 인터넷으로 서칭하던 도중 저렴하게 판매하고 있어서 냉큼 구입했어요.

윈도우만 없을 뿐인데 이렇게 저렴하다니 정말 행복하네요
매장이랑 다를바없이 상품도 엄청 깔끔하게 왔고 심지어 사은품도 챙겨주셔서 너무 좋아요

직접 방문해서 픽업해왔는데


!"
LG전자 LG그램 15ZD95P-GX56K,5,LG전자인증점 베스트CNF,22.01.22.,그램 초기모델부터 사용해서 디자인적으로 큰 감흥은 없었는데 15인치는 새롭네요..키보드도 베젤도 완전 맘에듭니다👍들고 다니기에 너무 크지않을까 걱정했던 마음이 싹 없어졌어요얇아서,"그램 초기모델부터 사용해서 디자인적으로 큰 감흥은 없었는데 15인치는 새롭네요..
키보드도 베젤도 완전 맘에듭니다👍
들고 다니기에 너무 크지않을까 걱정했던 마음이 싹 없어졌어요
얇아서 무게도 가볍고 뷰가 너무 기대되네요"
LG전자 LG그램 15ZD95P-GX56K,5,LG전자인증점 베스트CNF,22.01.08.,그램 2022를 사고 싶어서 사전예약으로 기다리다 드디어 받았어요~역시나 설치하고 한다고 좀 사용해보니 너무 좋네요~ 노트북 자체도 가벼운 편이고 화질도 너무 좋고 속도도 최고네요,"그램 2022를 사고 싶어서 사전예약으로 기다리다 드디어 받았어요~
역시나 설치하고 한다고 좀 사용해보니 너무 좋네요~
노트북 자체도 가벼운 편이고 화질도 너무 좋고 속도도 최고네요~!!!
화이트 색상으로 했더니 더 깔끔하니 이쁜건 당연한거고 노트북 자체도 환해 보여서 너무너무 좋아요~
LG 그램 최고입니다~~!!!"
LG전자 LG그램 15ZD95P-GX56K,5,LG전자인증점 베스트CNF,22.02.07.,지난 그램보다 아이보리 빛이 덜한 화이트라 심플하고 더 세련되고 이쁜 것 같아요! 전체적으로 좀 더 세련된 느낌이구 키감도 되게 좋아요 워낙에 평이 좋은 노트북이니 잘 쓸 것 같아,지난 그램보다 아이보리 빛이 덜한 화이트라 심플하고 더 세련되고 이쁜 것 같아요! 전체적으로 좀 더 세련된 느낌이구 키감도 되게 좋아요 워낙에 평이 좋은 노트북이니 잘 쓸 것 같아용! 지금 여기 가격이 제일 좋고 믿음직해서 주문했어요 약간 하자가 보여서 문의드렸는데 답변도 빠르고 친절하시네요 서비스가 좋은 것 같어요!
